"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
411.3,101.3,0.108,0.098,,+-0.1,+-0.001,+-0.001
407.3,101.3,0.042,0.202,,+-0.1,+-0.001,+-0.001
401.1,101.3,0.093,0.36,,+-0.1,+-0.001,+-0.001
397.7,101.3,0.131,0.44,,+-0.1,+-0.001,+-0.001
393.8,101.3,0.19,0.531,,+-0.1,+-0.001,+-0.001
391.2,101.3,0.234,0.584,,+-0.1,+-0.001,+-0.001
386.9,101.3,0.328,0.675,,+-0.1,+-0.001,+-0.001
383.6,101.3,0.425,0.74,,+-0.1,+-0.001,+-0.001
380.2,101.3,0.566,0.812,,+-0.1,+-0.001,+-0.001
377.6,101.3,0.681,0.861,,+-0.1,+-0.001,+-0.001
376.1,101.3,0.768,0.9,,+-0.1,+-0.001,+-0.001
374.4,101.3,0.875,0.944,,+-0.1,+-0.001,+-0.001
373.5,101.3,0.935,0.97,,+-0.1,+-0.001,+-0.001
373.0,101.3,0.975,0.989,,+-0.1,+-0.001,+-0.001
