"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
348.15,620.6,0.96,0.9905,+-0.005,0.05,,
348.15,617.85,0.947,0.989,+-0.005,0.05,,
348.15,596.91,0.8935,0.983,+-0.005,0.05,,
348.15,564.38,0.7925,0.965,+-0.005,0.05,,
348.15,526.7,0.6723,0.958,+-0.005,0.05,,
348.15,490.02,0.5796,0.943,+-0.005,0.05,,
348.15,436.0,0.4525,0.924,+-0.005,0.05,,
348.15,433.28,0.4426,0.924,+-0.005,0.05,,
348.15,385.82,0.379,0.9105,+-0.005,0.05,,
348.15,329.09,0.2493,0.879,+-0.005,0.05,,
348.15,261.04,0.1745,0.8325,+-0.005,0.05,,
348.15,225.43,0.1416,0.8045,+-0.005,0.05,,
348.15,221.82,0.1325,0.792,+-0.005,0.05,,
348.15,139.45,0.065,0.662,+-0.005,0.05,,
