"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
37,5.0,0.067,,+-0.05,+-0.07,+-0.0014,+-0.0014
37,10.0,0.134,,+-0.05,+-0.07,+-0.0014,+-0.0014
37,15.0,0.196,,+-0.05,+-0.07,+-0.0014,+-0.0014
37,20.0,0.253,,+-0.05,+-0.07,+-0.0014,+-0.0014
37,25.0,0.301,,+-0.05,+-0.07,+-0.0014,+-0.0014
37,30.0,0.348,,+-0.05,+-0.07,+-0.0014,+-0.0014
37,35.0,0.392,,+-0.05,+-0.07,+-0.0014,+-0.0014
37,40.0,0.435,,+-0.05,+-0.07,+-0.0014,+-0.0014
37,45.0,0.486,,+-0.05,+-0.07,+-0.0014,+-0.0014
37,50.0,0.517,,+-0.05,+-0.07,+-0.0014,+-0.0014
37,55.0,0.555,,+-0.05,+-0.07,+-0.0014,+-0.0014
37,60.0,0.588,,+-0.05,+-0.07,+-0.0014,+-0.0014
37,65.0,0.619,,+-0.05,+-0.07,+-0.0014,+-0.0014
37,70.0,0.649,,+-0.05,+-0.07,+-0.0014,+-0.0014
37,75.0,0.679,,+-0.05,+-0.07,+-0.0014,+-0.0014
