"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
76.2,60,0.0,0.0,0.02,,0.0005,0.0005
75.0,60,0.009,0.035,0.02,,0.0005,0.0005
70.0,60,0.05,0.122,0.02,,0.0005,0.0005
65.0,60,0.092,0.194,0.02,,0.0005,0.0005
60.0,60,0.137,0.271,0.02,,0.0005,0.0005
55.0,60,0.19,0.345,0.02,,0.0005,0.0005
50.0,60,0.256,0.423,0.02,,0.0005,0.0005
45.0,60,0.33,0.496,0.02,,0.0005,0.0005
40.0,60,0.425,0.583,0.02,,0.0005,0.0005
35.0,60,0.54,0.662,0.02,,0.0005,0.0005
30.0,60,0.687,0.759,0.02,,0.0005,0.0005
25.0,60,0.873,0.901,0.02,,0.0005,0.0005
24.0,60,0.922,0.938,0.02,,0.0005,0.0005
22.52,60,1.0,1.0,0.02,,0.0005,0.0005
