"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
136.18,1,0.0,0.0,+-0.05,,+-0.005,+-0.005
135.31,1,0.009,0.033,+-0.05,,+-0.005,+-0.005
134.54,1,0.017,0.059,+-0.05,,+-0.005,+-0.005
132.93,1,0.03,0.106,+-0.05,,+-0.005,+-0.005
119.99,1,0.165,0.458,+-0.05,,+-0.005,+-0.005
109.65,1,0.302,0.664,+-0.05,,+-0.005,+-0.005
101.86,1,0.438,0.785,+-0.05,,+-0.005,+-0.005
93.95,1,0.601,0.879,+-0.05,,+-0.005,+-0.005
88.01,1,0.753,0.937,+-0.05,,+-0.005,+-0.005
82.95,1,0.902,0.979,+-0.05,,+-0.005,+-0.005
81.62,1,0.945,0.989,+-0.05,,+-0.005,+-0.005
81.09,1,0.966,0.993,+-0.05,,+-0.005,+-0.005
80.08,1,1.0,1.0,+-0.05,,+-0.005,+-0.005
