"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
100,51.48,0.0,0.0,0.01,0.1%,0.0002,0.0002
100,53.22,0.1,0.1249,0.01,0.1%,0.0002,0.0002
100,54.78,0.2,0.2386,0.01,0.1%,0.0002,0.0002
100,56.15,0.3,0.3435,0.01,0.1%,0.0002,0.0002
100,57.33,0.4,0.4417,0.01,0.1%,0.0002,0.0002
100,58.32,0.5,0.5351,0.01,0.1%,0.0002,0.0002
100,59.11,0.6,0.6257,0.01,0.1%,0.0002,0.0002
100,59.71,0.7,0.7157,0.01,0.1%,0.0002,0.0002
100,60.11,0.8,0.8069,0.01,0.1%,0.0002,0.0002
100,60.31,0.9,0.9012,0.01,0.1%,0.0002,0.0002
100,59.86,1.0,1.0,0.01,0.1%,0.0002,0.0002
