"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
160.0,517.7,0.99845,0.010955,,,,
160.1,1074.7,0.99768,0.006352,,,,
160.0,1501.2,0.99708,0.005374,,,,
159.9,2007.2,0.99679,0.005086,,,,
159.9,2887.2,0.99587,0.004971,,,,
99.9,497.2,0.99799,0.002363,,,,
99.9,1012.2,0.99685,0.001416,,,,
100.0,1483.2,0.99661,0.001495,,,,
100.1,2075.2,0.99632,0.001533,,,,
100.1,3067.2,0.99628,0.001579,,,,
100.1,4029.7,0.99615,0.001622,,,,
100.1,4724.2,0.99588,0.001545,,,,
160.1,4989.2,0.99588,0.005115,,,,
160.1,4289.7,0.99606,0.00511,,,,
160.0,4079.7,0.99617,,,,,
