"T, deg.C","P, bar",X,Y,T Err,P Err,X Err,Y Err
50.6,0.303,0.0,,,,,
50.6,1.371,0.039,,,,,
50.6,2.41,0.0909,,,,,
50.6,3.176,0.1481,,,,,
50.6,3.537,0.1835,,,,,
50.6,3.918,0.2312,,,,,
50.6,4.219,0.2801,,,,,
50.6,4.184,0.2767,,,,,
50.6,4.361,0.3136,,,,,
50.6,4.426,0.3368,,,,,
50.6,4.543,0.3723,,,,,
50.6,4.562,0.3838,,,,,
50.6,4.649,0.4198,,,,,
50.6,4.737,0.4686,,,,,
50.6,4.8,0.5153,,,,,
50.6,4.85,0.5622,,,,,
50.6,4.899,0.6173,,,,,
50.6,4.943,0.6742,,,,,
50.6,4.976,0.7222,,,,,
50.6,5.013,0.7759,,,,,
50.6,5.052,0.8319,,,,,
50.6,5.087,0.882,,,,,
50.6,5.09,0.9414,,,,,
50.6,5.041,1.0,,,,,
