"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
124.9,6.16,0.0,,+-0.02,+-0.1,,
124.9,31.92,0.0206,,+-0.02,+-0.1,,
124.9,42.03,0.0307,,+-0.02,+-0.1,,
124.9,49.83,0.0399,,+-0.02,+-0.1,,
124.9,56.56,0.0484,,+-0.02,+-0.1,,
124.9,61.12,0.0552,,+-0.02,+-0.1,,
124.9,67.36,0.0654,,+-0.02,+-0.1,,
124.9,73.85,0.0779,,+-0.02,+-0.1,,
124.9,82.23,0.0984,,+-0.02,+-0.1,,
124.9,93.11,0.1385,,+-0.02,+-0.1,,
124.9,98.91,0.1755,,+-0.02,+-0.1,,
124.9,102.95,0.2092,,+-0.02,+-0.1,,
124.9,103.1,0.2399,,+-0.02,+-0.1,,
124.9,101.73,0.9383,,+-0.02,+-0.1,,
124.9,101.78,0.9468,,+-0.02,+-0.1,,
124.9,101.69,0.9552,,+-0.02,+-0.1,,
124.9,101.47,0.9649,,+-0.02,+-0.1,,
124.9,101.28,0.973,,+-0.02,+-0.1,,
124.9,100.52,0.9853,,+-0.02,+-0.1,,
124.9,99.88,0.9881,,+-0.02,+-0.1,,
124.9,99.42,0.9912,,+-0.02,+-0.1,,
124.9,99.06,0.9934,,+-0.02,+-0.1,,
124.9,98.17,0.998,,+-0.02,+-0.1,,
124.9,97.91,1.0,,+-0.02,+-0.1,,
