"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
370.35,101.3,0.0,,+-0.1,+-0.133,,
361.05,101.3,0.1168,,+-0.1,+-0.133,,
359.15,101.3,0.2271,,+-0.1,+-0.133,,
356.7,101.3,0.327,,+-0.1,+-0.133,,
355.5,101.3,0.4155,,+-0.1,+-0.133,,
353.9,101.3,0.5679,,+-0.1,+-0.133,,
353.55,101.3,0.5997,,+-0.1,+-0.133,,
353.35,101.3,0.6439,,+-0.1,+-0.133,,
353.25,101.3,0.681,,+-0.1,+-0.133,,
353.05,101.3,0.7147,,+-0.1,+-0.133,,
353.05,101.3,0.7474,,+-0.1,+-0.133,,
352.75,101.3,0.7993,,+-0.1,+-0.133,,
352.85,101.3,0.8455,,+-0.1,+-0.133,,
352.9,101.3,0.8882,,+-0.1,+-0.133,,
353.0,101.3,0.9178,,+-0.1,+-0.133,,
354.75,101.3,1.0,,+-0.1,+-0.133,,
