"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
20.2,2.551,0.0,0.0,+-0.05,,,
20.2,4.83,0.049,0.48,+-0.05,,,
20.2,9.28,0.14,0.73,+-0.05,,,
20.2,12.54,0.211,0.8,+-0.05,,,
20.2,19.12,0.352,0.871,+-0.05,,,
20.2,25.4,0.481,0.903,+-0.05,,,
20.2,32.0,0.607,0.928,+-0.05,,,
20.2,34.71,0.654,0.935,+-0.05,,,
20.2,38.64,0.722,0.943,+-0.05,,,
20.2,40.99,0.758,0.948,+-0.05,,,
20.2,45.36,0.822,0.955,+-0.05,,,
20.2,46.91,0.845,0.958,+-0.05,,,
20.2,52.04,0.904,0.967,+-0.05,,,
20.2,53.17,0.918,0.967,+-0.05,,,
20.2,54.26,0.931,0.966,+-0.05,,,
