"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
31.9,285.2,0.0,0.0,+-0.02,+-0.01,0.3%,0.3%
31.9,309.6,0.0615,0.0979,+-0.02,+-0.01,0.3%,0.3%
31.9,330.5,0.124,0.189,+-0.02,+-0.01,0.3%,0.3%
31.9,351.3,0.2021,0.2783,+-0.02,+-0.01,0.3%,0.3%
31.9,366.7,0.2768,0.348,+-0.02,+-0.01,0.3%,0.3%
31.9,380.6,0.365,0.436,+-0.02,+-0.01,0.3%,0.3%
31.9,390.6,0.462,0.506,+-0.02,+-0.01,0.3%,0.3%
31.9,396.3,0.538,0.564,+-0.02,+-0.01,0.3%,0.3%
31.9,398.6,0.564,0.586,+-0.02,+-0.01,0.3%,0.3%
31.9,399.1,0.582,0.598,+-0.02,+-0.01,0.3%,0.3%
31.9,400.5,0.652,0.652,+-0.02,+-0.01,0.3%,0.3%
31.9,398.9,0.7371,0.724,+-0.02,+-0.01,0.3%,0.3%
31.9,394.8,0.8062,0.7829,+-0.02,+-0.01,0.3%,0.3%
31.9,389.0,0.8598,0.8355,+-0.02,+-0.01,0.3%,0.3%
31.9,376.6,0.9378,0.9194,+-0.02,+-0.01,0.3%,0.3%
31.9,362.3,1.0,1.0,+-0.02,+-0.01,0.3%,0.3%
