"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
370.0,2488,0.0,0.0,+-0.01,+-0.015,0.002,0.003
370.0,2641,0.0097,0.0669,+-0.01,+-0.015,0.002,0.003
370.0,3266,0.0502,0.2765,+-0.01,+-0.015,0.002,0.003
370.0,3800,0.0842,0.396,+-0.01,+-0.015,0.002,0.003
370.0,4733,0.149,0.553,+-0.01,+-0.015,0.002,0.003
370.0,6806,0.2902,0.7381,+-0.01,+-0.015,0.002,0.003
370.0,7581,0.3475,0.7836,+-0.01,+-0.015,0.002,0.003
370.0,8285,0.3999,0.8171,+-0.01,+-0.015,0.002,0.003
370.0,9023,0.4571,0.8491,+-0.01,+-0.015,0.002,0.003
370.0,9578,0.5032,0.8692,+-0.01,+-0.015,0.002,0.003
370.0,10403,0.569,0.8951,+-0.01,+-0.015,0.002,0.003
370.0,11192,0.6366,0.9162,+-0.01,+-0.015,0.002,0.003
370.0,12828,0.7851,0.9512,+-0.01,+-0.015,0.002,0.003
370.0,13575,0.8555,0.9666,+-0.01,+-0.015,0.002,0.003
370.0,14325,0.9259,0.9822,+-0.01,+-0.015,0.002,0.003
370.0,15052,0.9899,0.9975,+-0.01,+-0.015,0.002,0.003
370.0,15153,1.0,1.0,+-0.01,+-0.015,0.002,0.003
