"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
98.2,760,0.028,0.051,,+-0.2,,
95.7,760,0.104,0.175,,+-0.2,,
93.7,760,0.163,0.264,,+-0.2,,
91.6,760,0.232,0.362,,+-0.2,,
89.9,760,0.294,0.441,,+-0.2,,
88.2,760,0.357,0.515,,+-0.2,,
86.6,760,0.419,0.578,,+-0.2,,
85.2,760,0.478,0.632,,+-0.2,,
84.2,760,0.525,0.677,,+-0.2,,
83.9,760,0.537,0.684,,+-0.2,,
82.8,760,0.591,0.729,,+-0.2,,
81.6,760,0.654,0.774,,+-0.2,,
80.6,760,0.713,0.815,,+-0.2,,
79.6,760,0.771,0.855,,+-0.2,,
78.8,760,0.826,0.89,,+-0.2,,
78.1,760,0.881,0.924,,+-0.2,,
77.5,760,0.934,0.957,,+-0.2,,
76.9,760,0.982,0.989,,+-0.2,,
