"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
367.45,92,0.0,0.0,+-0.02,+-0.1,+-0.008,+-0.008
366.55,92,0.008,0.046,+-0.02,+-0.1,+-0.008,+-0.008
365.05,92,0.022,0.117,+-0.02,+-0.1,+-0.008,+-0.008
356.75,92,0.119,0.46,+-0.02,+-0.1,+-0.008,+-0.008
356.15,92,0.125,0.474,+-0.02,+-0.1,+-0.008,+-0.008
353.85,92,0.169,0.55,+-0.02,+-0.1,+-0.008,+-0.008
351.65,92,0.208,0.57,+-0.02,+-0.1,+-0.008,+-0.008
346.95,92,0.342,0.708,+-0.02,+-0.1,+-0.008,+-0.008
344.55,92,0.441,0.765,+-0.02,+-0.1,+-0.008,+-0.008
342.95,92,0.528,0.796,+-0.02,+-0.1,+-0.008,+-0.008
341.45,92,0.638,0.837,+-0.02,+-0.1,+-0.008,+-0.008
339.75,92,0.776,0.873,+-0.02,+-0.1,+-0.008,+-0.008
338.25,92,0.955,0.963,+-0.02,+-0.1,+-0.008,+-0.008
337.85,92,1.0,1.0,+-0.02,+-0.1,+-0.008,+-0.008
