"T, deg.C","P, psi",X,Y,T Err,P Err,X Err,Y Err
242.2,500,0.945,0.901,+-0.3,,,
240.0,500,0.917,0.868,+-0.3,,,
239.4,500,0.909,0.863,+-0.3,,,
231.1,500,0.832,0.738,+-0.3,,,
226.7,500,0.772,0.674,+-0.3,,,
223.3,500,0.703,0.574,+-0.3,,,
219.4,500,0.619,0.502,+-0.3,,,
217.2,500,0.536,0.461,+-0.3,,,
216.1,500,0.41,0.409,+-0.3,,,
216.5,500,0.365,0.39,+-0.3,,,
216.8,500,0.27,0.366,+-0.3,,,
218.0,500,0.181,0.352,+-0.3,,,
221.1,500,0.086,0.284,+-0.3,,,
227.2,500,0.021,0.172,+-0.3,,,
233.9,500,0.011,0.1,+-0.3,,,
