"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
130,273.5,1.0,1.0,0.02,0.3,,
130,300.0,0.9824,0.9266,0.02,0.3,,
130,350.0,0.9474,0.8127,0.02,0.3,,
130,400.0,0.9118,0.7261,0.02,0.3,,
130,450.0,0.8754,0.6575,0.02,0.3,,
130,500.0,0.8382,0.602,0.02,0.3,,
130,550.0,0.8008,0.5574,0.02,0.3,,
130,600.0,0.7624,0.5196,0.02,0.3,,
130,650.0,0.723,0.4876,0.02,0.3,,
130,700.0,0.6829,0.4606,0.02,0.3,,
130,750.0,0.6423,0.4381,0.02,0.3,,
130,800.0,0.6004,0.4194,0.02,0.3,,
130,850.0,0.5597,0.4104,0.02,0.3,,
130,900.0,0.516,0.4032,0.02,0.3,,
130,950.0,0.4694,0.402,0.02,0.3,,
130,992.0,0.412,0.412,0.02,0.3,,
130,969.0,,0.402,0.02,0.3,,
