"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
-80.0,100.0,0.9445,9.4e-05,,,,
-80.0,200.0,0.8949,9.5e-05,,,,
-80.0,400.0,0.8055,0.00012,,,,
-80.0,600.0,0.7245,0.000119,,,,
-80.0,800.0,0.6997,0.000154,,,,
-80.0,1000.0,0.6078,0.00017,,,,
-80.0,1250.0,0.5454,0.000207,,,,
-80.0,1500.0,0.4819,0.000255,,,,
-80.0,1750.0,0.4253,0.000315,,,,
-80.0,2000.0,0.3827,0.000379,,,,
-80.0,2250.0,0.3428,0.000514,,,,
-80.0,2500.0,0.3048,0.000762,,,,
-80.0,2750.0,0.2647,0.00122,,,,
-80.0,3000.0,0.2344,0.00203,,,,
-80.0,3250.0,0.1937,0.00414,,,,
-80.0,3500.0,0.154,0.00786,,,,
