"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
82.4,760,0.035,0.06,0.1,,0.005,0.005
81.9,760,0.055,0.092,0.1,,0.005,0.005
81.2,760,0.087,0.142,0.1,,0.005,0.005
80.6,760,0.125,0.187,0.1,,0.005,0.005
79.8,760,0.183,0.251,0.1,,0.005,0.005
79.4,760,0.21,0.285,0.1,,0.005,0.005
78.8,760,0.263,0.34,0.1,,0.005,0.005
78.2,760,0.315,0.395,0.1,,0.005,0.005
77.8,760,0.352,0.445,0.1,,0.005,0.005
77.2,760,0.406,0.495,0.1,,0.005,0.005
76.1,760,0.52,0.595,0.1,,0.005,0.005
75.6,760,0.587,0.655,0.1,,0.005,0.005
75.0,760,0.662,0.712,0.1,,0.005,0.005
74.5,760,0.736,0.8,0.1,,0.005,0.005
74.0,760,0.845,0.895,0.1,,0.005,0.005
73.8,760,0.917,0.955,0.1,,0.005,0.005
