"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
393.15,0.3706,0.0,0.0,+-0.02,+-0.0002,+-0.002,+-0.002
393.15,0.3998,0.014,0.086,+-0.02,+-0.0002,+-0.002,+-0.002
393.15,0.4041,0.018,0.099,+-0.02,+-0.0002,+-0.002,+-0.002
393.15,0.4475,0.046,0.235,+-0.02,+-0.0002,+-0.002,+-0.002
393.15,0.4815,0.08,0.327,+-0.02,+-0.0002,+-0.002,+-0.002
393.15,0.527,0.138,0.405,+-0.02,+-0.0002,+-0.002,+-0.002
393.15,0.5654,0.212,0.46,+-0.02,+-0.0002,+-0.002,+-0.002
393.15,0.5973,0.299,0.516,+-0.02,+-0.0002,+-0.002,+-0.002
393.15,0.6166,0.389,0.543,+-0.02,+-0.0002,+-0.002,+-0.002
393.15,0.6403,0.531,0.6,+-0.02,+-0.0002,+-0.002,+-0.002
393.15,0.6359,0.661,0.659,+-0.02,+-0.0002,+-0.002,+-0.002
393.15,0.6264,0.757,0.723,+-0.02,+-0.0002,+-0.002,+-0.002
393.15,0.6167,0.831,0.781,+-0.02,+-0.0002,+-0.002,+-0.002
393.15,0.6057,0.883,0.826,+-0.02,+-0.0002,+-0.002,+-0.002
393.15,0.596,0.921,0.878,+-0.02,+-0.0002,+-0.002,+-0.002
393.15,0.5854,0.955,0.926,+-0.02,+-0.0002,+-0.002,+-0.002
393.15,0.5706,0.985,0.97,+-0.02,+-0.0002,+-0.002,+-0.002
393.15,0.5583,1.0,1.0,+-0.02,+-0.0002,+-0.002,+-0.002
