"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
376.85,101.32,0.0289,0.1249,+-0.05,+-0.02,,
375.95,101.32,0.0505,0.1714,+-0.05,+-0.02,,
375.55,101.32,0.0576,0.1891,+-0.05,+-0.02,,
374.85,101.32,0.0701,0.2173,+-0.05,+-0.02,,
374.35,101.32,0.0797,0.2357,+-0.05,+-0.02,,
373.95,101.32,0.0867,0.2505,+-0.05,+-0.02,,
373.65,101.32,0.0963,0.2651,+-0.05,+-0.02,,
372.55,101.32,0.1084,0.2944,+-0.05,+-0.02,,
371.65,101.32,0.1218,0.3168,+-0.05,+-0.02,,
370.25,101.32,0.1546,0.3792,+-0.05,+-0.02,,
369.45,101.32,0.1792,0.4158,+-0.05,+-0.02,,
367.85,101.32,0.2175,0.4683,+-0.05,+-0.02,,
366.35,101.32,0.2497,0.5087,+-0.05,+-0.02,,
364.95,101.32,0.2897,0.5526,+-0.05,+-0.02,,
362.85,101.32,0.3634,0.6191,+-0.05,+-0.02,,
361.15,101.32,0.4388,0.6697,+-0.05,+-0.02,,
360.05,101.32,0.4728,0.6949,+-0.05,+-0.02,,
359.05,101.32,0.5143,0.7253,+-0.05,+-0.02,,
358.25,101.32,0.5534,0.7507,+-0.05,+-0.02,,
357.25,101.32,0.5958,0.78,+-0.05,+-0.02,,
356.65,101.32,0.6263,0.7963,+-0.05,+-0.02,,
355.75,101.32,0.6674,0.8235,+-0.05,+-0.02,,
355.15,101.32,0.7054,0.8451,+-0.05,+-0.02,,
354.35,101.32,0.7454,0.867,+-0.05,+-0.02,,
353.75,101.32,0.7843,0.8878,+-0.05,+-0.02,,
352.95,101.32,0.8292,0.9118,+-0.05,+-0.02,,
352.25,101.32,0.8726,0.9329,+-0.05,+-0.02,,
351.45,101.32,0.9167,0.9544,+-0.05,+-0.02,,
350.85,101.32,0.9538,0.9737,+-0.05,+-0.02,,
350.55,101.32,0.9787,0.9868,+-0.05,+-0.02,,
