"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
298.15,97.51,0.0,0.0,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,92.78,0.1407,0.0221,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,91.06,0.208,0.0257,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,90.62,0.2201,0.0264,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,88.1,0.3068,0.0316,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,84.88,0.3935,0.0378,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,81.45,0.4702,0.0437,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,78.76,0.5248,0.0479,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,77.4,0.5557,0.0504,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,74.42,0.6071,0.0547,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,73.79,0.6229,0.0562,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,69.55,0.6869,0.0627,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,62.72,0.7647,0.0745,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,59.63,0.7949,0.0813,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,48.53,0.8608,0.106,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,21.65,0.9689,0.2574,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,12.05,0.9827,0.4425,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,3.9,1.0,1.0,+-0.1,+-0.50,+-0.0001,+-0.0001
