"T, K","P, Pa",X,Y,T Err,P Err,X Err,Y Err
350.0,1145,0.0,0.0,+-0.01,+-15,0.002,0.003
350.0,1291,0.0163,0.1245,+-0.01,+-15,0.002,0.003
350.0,1447,0.034,0.23,+-0.01,+-15,0.002,0.003
350.0,1665,0.0578,0.345,+-0.01,+-15,0.002,0.003
350.0,2329,0.1382,0.5704,+-0.01,+-15,0.002,0.003
350.0,4185,0.3671,0.8232,+-0.01,+-15,0.002,0.003
350.0,5206,0.5069,0.888,+-0.01,+-15,0.002,0.003
350.0,5776,0.5908,0.9144,+-0.01,+-15,0.002,0.003
350.0,6539,0.708,0.9446,+-0.01,+-15,0.002,0.003
350.0,6931,0.7754,0.9571,+-0.01,+-15,0.002,0.003
350.0,7253,0.8334,0.9668,+-0.01,+-15,0.002,0.003
350.0,7542,0.8843,0.9774,+-0.01,+-15,0.002,0.003
350.0,7738,0.9197,0.983,+-0.01,+-15,0.002,0.003
350.0,7830,0.9337,0.9862,+-0.01,+-15,0.002,0.003
350.0,8030,0.9692,0.9931,+-0.01,+-15,0.002,0.003
350.0,8081,0.9788,0.9953,+-0.01,+-15,0.002,0.003
350.0,8157,0.9896,0.9976,+-0.01,+-15,0.002,0.003
350.0,8203,1.0,1.0,+-0.01,+-15,0.002,0.003
