"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
25,3.906,0.925,0.08,+-0.05%,+-0.01,,
25,6.339,0.877,0.0519,+-0.05%,+-0.01,,
25,16.64,0.675,0.0216,+-0.05%,+-0.01,,
25,19.31,0.627,0.0198,+-0.05%,+-0.01,,
25,22.98,0.565,0.0172,+-0.05%,+-0.01,,
25,28.49,0.478,0.0147,+-0.05%,+-0.01,,
25,38.78,0.316,0.0115,+-0.05%,+-0.01,,
25,43.14,0.249,0.0094,+-0.05%,+-0.01,,
25,47.74,0.188,0.0083,+-0.05%,+-0.01,,
25,52.85,0.107,0.0071,+-0.05%,+-0.01,,
25,54.84,0.0795,0.0065,+-0.05%,+-0.01,,
25,59.89,0.0243,0.0039,+-0.05%,+-0.01,,
25,60.86,0.0175,0.0034,+-0.05%,+-0.01,,
