"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
83.1,760,0.053,0.208,+-0.1,,+-0.15,+-0.15
78.0,760,0.126,0.361,+-0.1,,+-0.15,+-0.15
75.2,760,0.189,0.435,+-0.1,,+-0.15,+-0.15
74.0,760,0.227,0.476,+-0.1,,+-0.15,+-0.15
72.5,760,0.285,0.535,+-0.1,,+-0.15,+-0.15
70.7,760,0.371,0.591,+-0.1,,+-0.15,+-0.15
69.8,760,0.417,0.637,+-0.1,,+-0.15,+-0.15
69.2,760,0.475,0.66,+-0.1,,+-0.15,+-0.15
68.4,760,0.54,0.699,+-0.1,,+-0.15,+-0.15
68.0,760,0.583,0.78,+-0.1,,+-0.15,+-0.15
67.5,760,0.623,0.744,+-0.1,,+-0.15,+-0.15
67.2,760,0.659,0.758,+-0.1,,+-0.15,+-0.15
66.6,760,0.726,0.802,+-0.1,,+-0.15,+-0.15
66.1,760,0.777,0.833,+-0.1,,+-0.15,+-0.15
65.7,760,0.831,0.866,+-0.1,,+-0.15,+-0.15
65.3,760,0.879,0.9,+-0.1,,+-0.15,+-0.15
65.0,760,0.919,0.935,+-0.1,,+-0.15,+-0.15
64.7,760,0.962,0.966,+-0.1,,+-0.15,+-0.15
