"T, K","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
298.15,116.8,0.113,0.319,,,,
298.15,124.3,0.164,0.381,,,,
298.15,129.1,0.206,0.421,,,,
298.15,136.7,0.296,0.493,,,,
298.15,142.2,0.394,0.552,,,,
298.15,145.6,0.496,0.589,,,,
298.15,147.4,0.594,0.635,,,,
298.15,147.7,0.686,0.677,,,,
298.15,146.0,0.791,0.727,,,,
