"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
100,500,0.153,0.969,+-0.2,+-2,+-0.002,+-0.002
100,1000,0.286,0.98,+-0.2,+-2,+-0.002,+-0.002
100,1500,0.404,0.979,+-0.2,+-2,+-0.002,+-0.002
100,2000,0.511,0.97,+-0.2,+-2,+-0.002,+-0.002
100,2500,0.638,0.969,+-0.2,+-2,+-0.002,+-0.002
100,2700,0.694,0.97,+-0.2,+-2,+-0.002,+-0.002
100,2765,0.715,0.968,+-0.2,+-2,+-0.002,+-0.002
100,2845,0.756,0.964,+-0.2,+-2,+-0.002,+-0.002
100,2825,0.74,0.962,+-0.2,+-2,+-0.002,+-0.002
100,2870,0.764,0.957,+-0.2,+-2,+-0.002,+-0.002
