"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
129.8,7.5,0.0173,0.9983,,,,
129.8,17.75,0.0402,0.9978,,,,
129.8,28.43,0.0602,0.9976,,,,
129.8,42.42,0.0822,0.9963,,,,
129.8,54.69,0.1002,0.9956,,,,
129.8,67.48,0.1182,0.9946,,,,
129.8,69.15,0.1193,0.9935,,,,
129.8,84.42,0.1401,0.9899,,,,
129.8,118.59,0.1786,0.9896,,,,
129.8,134.86,0.1951,0.989,,,,
129.8,136.24,0.1959,0.9894,,,,
129.8,161.06,0.2213,0.989,,,,
129.8,189.19,0.2472,0.9884,,,,
129.8,225.87,0.2784,0.9873,,,,
129.8,236.49,0.291,0.9833,,,,
129.8,278.46,0.3266,0.9818,,,,
129.8,334.4,0.3767,0.976,,,,
129.8,404.58,0.4266,0.9716,,,,
129.8,460.01,0.4765,,,,,
129.8,461.94,0.4762,0.9685,,,,
129.8,484.83,0.4865,0.9665,,,,
129.8,503.31,0.5166,0.9642,,,,
129.8,514.6,0.5281,,,,,
