"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
180.0,294.5,0.67,0.69,0.5,0.04,,
180.0,276.5,0.56,0.79,0.5,0.04,,
180.0,250.5,0.49,0.84,0.5,0.04,,
180.0,223.0,0.43,0.86,0.5,0.04,,
180.0,201.0,0.39,0.87,0.5,0.04,,
180.0,161.0,0.305,0.88,0.5,0.04,,
180.0,116.0,0.215,0.87,0.5,0.04,,
180.0,91.5,0.16,0.86,0.5,0.04,,
180.0,72.0,0.12,0.85,0.5,0.04,,
180.0,56.0,0.09,0.83,0.5,0.04,,
180.0,37.0,0.06,0.77,0.5,0.04,,
180.0,26.5,0.04,0.67,0.5,0.04,,
180.0,25.5,0.04,0.66,0.5,0.04,,
180.0,21.0,0.03,0.61,0.5,0.04,,
180.0,17.5,0.02,0.54,0.5,0.04,,
180.0,15.5,0.01,0.47,0.5,0.04,,
