"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
280,62.0,0.0,0.0,0.02,0.15%,0.001,0.001
280,500.0,0.0224,0.8582,0.02,0.15%,0.001,0.001
280,1000.0,0.0466,0.9196,0.02,0.15%,0.001,0.001
280,1500.0,0.0697,0.9402,0.02,0.15%,0.001,0.001
280,2000.0,0.0914,0.9503,0.02,0.15%,0.001,0.001
280,2500.0,0.1118,0.9564,0.02,0.15%,0.001,0.001
280,3000.0,0.134,0.9603,0.02,0.15%,0.001,0.001
280,3500.0,0.1505,0.963,0.02,0.15%,0.001,0.001
280,4000.0,0.1673,0.9651,0.02,0.15%,0.001,0.001
280,4500.0,0.1858,0.9664,0.02,0.15%,0.001,0.001
280,5000.0,0.202,0.9673,0.02,0.15%,0.001,0.001
280,6000.0,0.2343,0.9681,0.02,0.15%,0.001,0.001
280,7000.0,0.2652,0.9681,0.02,0.15%,0.001,0.001
280,8000.0,0.2919,0.9683,0.02,0.15%,0.001,0.001
280,9000.0,,0.9684,0.02,0.15%,0.001,0.001
