"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
313.15,1.535,0.0668,,+-0.02,,0.0005,
313.15,1.972,0.157,,+-0.02,,0.0005,
313.15,2.401,0.2348,,+-0.02,,0.0005,
313.15,2.744,0.2969,,+-0.02,,0.0005,
313.15,3.103,0.3621,,+-0.02,,0.0005,
313.15,3.124,0.366,,+-0.02,,0.0005,
313.15,3.877,0.4924,,+-0.02,,0.0005,
313.15,4.453,0.5844,,+-0.02,,0.0005,
313.15,4.885,0.6535,,+-0.02,,0.0005,
313.15,5.095,0.6889,,+-0.02,,0.0005,
313.15,5.421,0.7396,,+-0.02,,0.0005,
313.15,6.005,0.8387,,+-0.02,,0.0005,
313.15,6.515,0.9192,,+-0.02,,0.0005,
