"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
-139.96,0.036,0.0,0.0,+-0.02,0.1%,,
-139.96,50.0,0.09796,0.999001,+-0.02,0.1%,,
-139.96,100.1,0.1879,0.999391,+-0.02,0.1%,,
-139.96,149.8,0.2804,0.999531,+-0.02,0.1%,,
-139.96,199.9,0.3716,0.999597,+-0.02,0.1%,,
-139.96,299.9,0.5812,0.999651,+-0.02,0.1%,,
-139.96,350.0,0.7288,0.999651,+-0.02,0.1%,,
-139.96,400.0,0.937,0.999671,+-0.02,0.1%,,
-139.96,420.0,0.9793,0.999767,+-0.02,0.1%,,
-139.96,420.0,0.9841,0.999767,+-0.02,0.1%,,
-139.96,440.0,1.0,1.0,+-0.02,0.1%,,
