"T, deg.C","P, psi",X,Y,T Err,P Err,X Err,Y Err
214.5,500,0.955,0.971,+-0.3,,,
215.6,500,0.913,0.933,+-0.3,,,
218.0,500,0.855,0.881,+-0.3,,,
220.1,500,0.795,0.83,+-0.3,,,
222.6,500,0.713,0.761,+-0.3,,,
223.2,500,0.701,0.757,+-0.3,,,
225.0,500,0.65,0.691,+-0.3,,,
227.4,500,0.57,0.622,+-0.3,,,
233.5,500,0.397,0.45,+-0.3,,,
235.6,500,0.335,0.383,+-0.3,,,
238.9,500,0.252,0.295,+-0.3,,,
241.4,500,0.19,0.223,+-0.3,,,
243.0,500,0.151,0.185,+-0.3,,,
247.8,500,0.062,0.086,+-0.3,,,
248.4,500,0.05,0.078,+-0.3,,,
