"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
333.15,214.1,0.0295,0.1725,,,,
333.15,245.5,0.062,0.3005,,,,
333.15,279.7,0.1035,0.4095,,,,
333.15,313.2,0.148,0.4895,,,,
333.15,354.5,0.2154,0.5783,,,,
333.15,374.8,0.251,0.611,,,,
333.15,415.8,0.3412,0.6745,,,,
333.15,461.6,0.4775,0.7433,,,,
333.15,485.2,0.5593,0.7815,,,,
333.15,491.1,0.5795,0.7945,,,,
333.15,509.3,0.658,0.8205,,,,
333.15,527.8,0.737,0.8503,,,,
333.15,542.2,0.806,0.8795,,,,
333.15,552.1,0.8553,0.9072,,,,
333.15,562.4,0.911,0.938,,,,
333.15,567.4,0.9435,0.9595,,,,
