"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
45,249.7,0.0255,0.01819,+-0.005,+-0.05,,
45,294.0,0.0543,0.3169,+-0.005,+-0.05,,
45,412.2,0.1467,0.5478,+-0.005,+-0.05,,
45,449.1,0.1829,0.5996,+-0.005,+-0.05,,
45,494.1,0.2286,0.6476,+-0.005,+-0.05,,
45,533.0,0.2706,0.6849,+-0.005,+-0.05,,
45,586.9,0.3373,0.7322,+-0.005,+-0.05,,
45,633.0,0.4011,0.7684,+-0.005,+-0.05,,
45,676.1,0.4636,0.7969,+-0.005,+-0.05,,
45,700.0,0.4991,0.8135,+-0.005,+-0.05,,
45,740.2,0.5678,0.8409,+-0.005,+-0.05,,
45,783.0,0.6328,0.8645,+-0.005,+-0.05,,
45,836.6,0.7171,0.8962,+-0.005,+-0.05,,
45,881.9,0.7899,0.9215,+-0.005,+-0.05,,
