"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
75.0,10.0,0.0,0.0,,,,
75.0,12.04,0.0116,0.1805,,,,
75.0,17.01,0.0418,0.447,,,,
75.0,20.85,0.0679,0.569,,,,
75.0,29.47,0.1531,0.7155,,,,
75.0,34.33,0.2225,0.7769,,,,
75.0,36.95,0.2643,0.7912,,,,
75.0,38.74,0.3057,0.8043,,,,
75.0,41.06,0.3702,0.8173,,,,
75.0,42.85,0.4309,0.8362,,,,
75.0,44.46,0.4853,0.8435,,,,
75.0,45.34,0.5302,0.8513,,,,
75.0,45.43,0.5321,0.8507,,,,
75.0,46.47,0.5986,0.8618,,,,
75.0,47.46,0.6677,0.8722,,,,
75.0,47.97,0.711,0.8774,,,,
75.0,48.32,0.7435,0.8839,,,,
75.0,48.59,0.7685,0.8881,,,,
75.0,49.25,0.8459,0.9025,,,,
75.0,49.51,0.8882,0.913,,,,
75.0,49.59,0.9219,0.9245,,,,
75.0,49.57,0.9452,0.9362,,,,
75.0,49.44,0.9631,0.9488,,,,
75.0,49.14,0.9804,0.9674,,,,
75.0,48.4,1.0,1.0,,,,
