"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
428.75,1.582,0.102,,+-0.05,+-0.01,0.001,
438.71,1.972,0.102,,+-0.05,+-0.01,0.001,
448.07,2.407,0.102,,+-0.05,+-0.01,0.001,
457.47,2.912,0.102,,+-0.05,+-0.01,0.001,
468.47,3.602,0.102,,+-0.05,+-0.01,0.001,
479.64,4.427,0.102,,+-0.05,+-0.01,0.001,
489.7,5.283,0.102,,+-0.05,+-0.01,0.001,
499.57,6.231,0.102,,+-0.05,+-0.01,0.001,
507.74,7.108,0.102,,+-0.05,+-0.01,0.001,
508.08,7.148,0.102,,+-0.05,+-0.01,0.001,
508.8,7.196,0.102,,+-0.05,+-0.01,0.001,
508.9,7.19,0.102,,+-0.05,+-0.01,0.001,
