"T, K","P, atm",X,Y,T Err,P Err,X Err,Y Err
253.11,19.58,0.0,0.0,+-0.05,+-0.1,,
253.11,29.45,0.002,0.286,+-0.05,+-0.1,,
253.11,34.91,0.0041,0.3494,+-0.05,+-0.1,,
253.11,46.74,0.0055,0.507,+-0.05,+-0.1,,
253.11,54.64,0.007,0.5723,+-0.05,+-0.1,,
253.11,63.23,0.008,0.63,+-0.05,+-0.1,,
253.11,76.42,0.0102,0.6836,+-0.05,+-0.1,,
253.11,89.51,0.0134,0.7323,+-0.05,+-0.1,,
253.11,108.76,0.0161,0.7876,+-0.05,+-0.1,,
253.11,115.66,0.019,0.7991,+-0.05,+-0.1,,
253.11,137.06,0.0173,0.8183,+-0.05,+-0.1,,
