"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
298.15,0.689,0.0,0.0,,,,
298.15,4.604,0.067,0.856,,,,
298.15,6.677,0.121,0.909,,,,
298.15,11.044,0.233,0.948,,,,
298.15,11.543,0.258,0.952,,,,
298.15,13.316,0.342,0.962,,,,
298.15,14.503,0.41,0.966,,,,
298.15,14.672,0.419,0.967,,,,
298.15,14.811,0.429,0.967,,,,
298.15,14.825,0.436,0.967,,,,
298.15,15.009,0.468,0.968,,,,
298.15,15.289,0.472,0.969,,,,
298.15,15.969,0.556,0.971,,,,
298.15,16.216,0.601,0.973,,,,
298.15,16.845,0.716,0.977,,,,
298.15,17.429,0.766,0.979,,,,
298.15,17.987,0.801,0.981,,,,
298.15,18.411,0.867,0.985,,,,
298.15,18.958,0.88,0.986,,,,
298.15,19.112,0.93,0.99,,,,
298.15,19.279,0.965,0.994,,,,
298.15,20.065,1.0,1.0,,,,
