"T, K","P, Pa",X,Y,T Err,P Err,X Err,Y Err
293.41,5627,0.0006,,0.003,+-0.01,,
312.25,18500,0.0006,,0.003,+-0.01,,
293.43,13726,0.0024,,0.003,+-0.01,,
312.26,32987,0.0024,,0.003,+-0.01,,
293.4,15691,0.0568,,0.003,+-0.01,,
312.21,36888,0.0568,,0.003,+-0.01,,
293.4,16708,0.0874,,0.003,+-0.01,,
312.25,37219,0.0874,,0.003,+-0.01,,
293.41,16055,0.1084,,0.003,+-0.01,,
312.25,37260,0.1084,,0.003,+-0.01,,
293.42,16078,0.1579,,0.003,+-0.01,,
312.24,37252,0.1579,,0.003,+-0.01,,
