"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
444.05,101.32,0.0,0.0,+-0.02,+-0.01,,
441.51,101.32,0.0015,0.0458,+-0.02,+-0.01,,
435.95,101.32,0.0048,0.1451,+-0.02,+-0.01,,
432.75,101.32,0.0068,0.2027,+-0.02,+-0.01,,
424.75,101.32,0.0145,0.3625,+-0.02,+-0.01,,
416.96,101.32,0.0291,0.5137,+-0.02,+-0.01,,
407.69,101.32,0.0505,0.6478,+-0.02,+-0.01,,
395.8,101.32,0.0901,0.769,+-0.02,+-0.01,,
384.05,101.32,0.1605,0.8627,+-0.02,+-0.01,,
378.98,101.32,0.1978,0.8914,+-0.02,+-0.01,,
372.78,101.32,0.2828,0.9234,+-0.02,+-0.01,,
369.55,101.32,0.3269,0.9295,+-0.02,+-0.01,,
367.58,101.32,0.3664,0.9356,+-0.02,+-0.01,,
364.1,101.32,0.4403,0.9468,+-0.02,+-0.01,,
361.62,101.32,0.5152,0.9591,+-0.02,+-0.01,,
359.36,101.32,0.6031,0.9665,+-0.02,+-0.01,,
357.87,101.32,0.668,0.9719,+-0.02,+-0.01,,
356.69,101.32,0.7296,0.9757,+-0.02,+-0.01,,
355.56,101.32,0.791,0.9809,+-0.02,+-0.01,,
354.54,101.32,0.8489,0.9855,+-0.02,+-0.01,,
353.37,101.32,0.9119,0.9905,+-0.02,+-0.01,,
352.09,101.32,0.9752,0.9972,+-0.02,+-0.01,,
351.56,101.32,1.0,1.0,+-0.02,+-0.01,,
