"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
66.1,760,0.0,0.0,+-0.1,+-0.5,,
66.4,760,0.018,0.01,+-0.1,+-0.5,,
66.9,760,0.045,0.03,+-0.1,+-0.5,,
67.1,760,0.083,0.055,+-0.1,+-0.5,,
67.8,760,0.136,0.096,+-0.1,+-0.5,,
68.5,760,0.185,0.15,+-0.1,+-0.5,,
68.9,760,0.232,0.203,+-0.1,+-0.5,,
69.3,760,0.281,0.259,+-0.1,+-0.5,,
69.7,760,0.313,0.297,+-0.1,+-0.5,,
69.7,760,0.357,0.35,+-0.1,+-0.5,,
69.8,760,0.373,0.368,+-0.1,+-0.5,,
69.8,760,0.392,0.395,+-0.1,+-0.5,,
69.7,760,0.421,0.427,+-0.1,+-0.5,,
69.4,760,0.447,0.466,+-0.1,+-0.5,,
68.9,760,0.497,0.526,+-0.1,+-0.5,,
68.0,760,0.552,0.609,+-0.1,+-0.5,,
67.0,760,0.627,0.697,+-0.1,+-0.5,,
66.3,760,0.695,0.768,+-0.1,+-0.5,,
64.9,760,0.775,0.851,+-0.1,+-0.5,,
63.6,760,0.843,0.907,+-0.1,+-0.5,,
62.4,760,0.909,0.943,+-0.1,+-0.5,,
61.6,760,0.981,0.945,+-0.1,+-0.5,,
60.3,760,1.0,1.0,+-0.1,+-0.5,,
