"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
93.9,28,0.0,0.0,,,,
91.6,28,0.005,0.064,,,,
86.6,28,0.02,0.221,,,,
83.4,28,0.028,0.313,,,,
80.2,28,0.04,0.372,,,,
75.5,28,0.058,0.473,,,,
71.6,28,0.079,0.555,,,,
67.4,28,0.108,0.638,,,,
63.7,28,0.134,0.713,,,,
59.4,28,0.203,0.765,,,,
55.8,28,0.285,0.803,,,,
54.7,28,0.315,0.82,,,,
53.8,28,0.34,0.832,,,,
52.2,28,0.407,0.853,,,,
51.6,28,0.441,0.865,,,,
51.0,28,0.485,0.874,,,,
50.3,28,0.517,0.883,,,,
49.6,28,0.528,0.888,,,,
49.1,28,0.58,0.895,,,,
48.0,28,0.645,0.908,,,,
47.6,28,0.675,0.912,,,,
46.8,28,0.748,0.927,,,,
46.3,28,0.818,0.939,,,,
46.0,28,0.845,0.945,,,,
45.5,28,0.892,0.957,,,,
45.2,28,0.978,0.982,,,,
44.6,28,1.0,1.0,,,,
