"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
65.8,63.81,0.0,0.0,,,0.001,0.001
65.8,64.88,0.0245,0.0417,,,0.001,0.001
65.8,68.21,0.0969,0.155,,,0.001,0.001
65.8,71.46,0.1676,0.2569,,,0.001,0.001
65.7,72.14,0.1821,0.2765,,,0.001,0.001
65.8,78.25,0.3163,0.4409,,,0.001,0.001
65.8,84.0,0.4404,0.5712,,,0.001,0.001
65.8,87.93,0.5311,0.6547,,,0.001,0.001
65.8,96.62,0.7332,0.8181,,,0.001,0.001
65.8,99.97,0.8101,0.874,,,0.001,0.001
65.7,102.27,0.873,0.917,,,0.001,0.001
65.9,105.85,0.9348,0.958,,,0.001,0.001
65.8,107.89,1.0,1.0,,,0.001,0.001
