"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
100.0,0.347,0.0,0.0,+-0.1,+-0.15%,,
100.0,0.5965,0.0143,0.4329,+-0.1,+-0.15%,,
100.0,1.338,0.0914,0.7349,+-0.1,+-0.15%,,
100.0,1.843,0.2542,0.8021,+-0.1,+-0.15%,,
100.0,2.041,0.429,0.8397,+-0.1,+-0.15%,,
100.0,2.119,0.673,0.8537,+-0.1,+-0.15%,,
100.0,2.18,0.8595,0.8794,+-0.1,+-0.15%,,
100.0,2.19,0.8883,0.8883,+-0.1,+-0.15%,,
100.0,2.167,0.9416,0.9164,+-0.1,+-0.15%,,
100.0,2.139,0.9662,0.9359,+-0.1,+-0.15%,,
100.0,2.103,0.9828,0.9596,+-0.1,+-0.15%,,
100.0,2.036,0.9952,0.9834,+-0.1,+-0.15%,,
100.0,2.017,0.9991,0.9961,+-0.1,+-0.15%,,
100.0,2.017,1.0,1.0,+-0.1,+-0.15%,,
