"T, K","P, atm",X,Y,T Err,P Err,X Err,Y Err
450.65,1,0.0,0.0,+-0.1,+-0.1,,
449.45,1,0.0752,0.1033,+-0.1,+-0.1,,
449.05,1,0.0965,0.1316,+-0.1,+-0.1,,
448.65,1,0.1224,0.1642,+-0.1,+-0.1,,
448.15,1,0.1557,0.2009,+-0.1,+-0.1,,
447.65,1,0.1941,0.2496,+-0.1,+-0.1,,
446.95,1,0.2448,0.307,+-0.1,+-0.1,,
445.95,1,0.3154,0.3892,+-0.1,+-0.1,,
444.95,1,0.3894,0.4702,+-0.1,+-0.1,,
443.95,1,0.4751,0.5568,+-0.1,+-0.1,,
443.05,1,0.55,0.6298,+-0.1,+-0.1,,
442.25,1,0.6243,0.6947,+-0.1,+-0.1,,
441.35,1,0.7132,0.7642,+-0.1,+-0.1,,
440.75,1,0.7782,0.8228,+-0.1,+-0.1,,
440.15,1,0.8471,0.874,+-0.1,+-0.1,,
439.75,1,0.9125,0.9247,+-0.1,+-0.1,,
439.35,1,0.9712,0.9759,+-0.1,+-0.1,,
439.15,1,1.0,1.0,+-0.1,+-0.1,,
