"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
55.08,486.0,0.123,0.117,+-0.05,,+-0.2,+-0.2
55.02,485.1,0.23,0.214,+-0.05,,+-0.2,+-0.2
55.1,480.0,0.294,0.265,+-0.05,,+-0.2,+-0.2
55.02,470.5,0.4,0.341,+-0.05,,+-0.2,+-0.2
55.03,468.0,0.427,0.364,+-0.05,,+-0.2,+-0.2
54.92,458.0,0.505,0.419,+-0.05,,+-0.2,+-0.2
55.26,445.2,0.625,0.511,+-0.05,,+-0.2,+-0.2
54.98,425.0,0.727,0.595,+-0.05,,+-0.2,+-0.2
55.12,409.7,0.794,0.656,+-0.05,,+-0.2,+-0.2
55.22,402.5,0.824,0.694,+-0.05,,+-0.2,+-0.2
55.2,401.4,0.829,0.7,+-0.05,,+-0.2,+-0.2
55.14,383.9,0.882,0.773,+-0.05,,+-0.2,+-0.2
55.25,371.9,0.915,0.822,+-0.05,,+-0.2,+-0.2
55.07,371.6,0.914,0.816,+-0.05,,+-0.2,+-0.2
