"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
393.15,0.2807,0.0,0.0,+-0.02,+-0.0002,+-0.002,+-0.002
393.15,0.2961,0.006,0.079,+-0.02,+-0.0002,+-0.002,+-0.002
393.15,0.3417,0.037,0.219,+-0.02,+-0.0002,+-0.002,+-0.002
393.15,0.3801,0.065,0.314,+-0.02,+-0.0002,+-0.002,+-0.002
393.15,0.4326,0.123,0.439,+-0.02,+-0.0002,+-0.002,+-0.002
393.15,0.479,0.21,0.53,+-0.02,+-0.0002,+-0.002,+-0.002
393.15,0.5099,0.29,0.582,+-0.02,+-0.0002,+-0.002,+-0.002
393.15,0.5399,0.409,0.651,+-0.02,+-0.0002,+-0.002,+-0.002
393.15,0.5701,0.548,0.712,+-0.02,+-0.0002,+-0.002,+-0.002
393.15,0.5814,0.706,0.752,+-0.02,+-0.0002,+-0.002,+-0.002
393.15,0.5849,0.816,0.816,+-0.02,+-0.0002,+-0.002,+-0.002
393.15,0.5762,0.912,0.893,+-0.02,+-0.0002,+-0.002,+-0.002
393.15,0.565,0.995,0.976,+-0.02,+-0.0002,+-0.002,+-0.002
393.15,0.5583,1.0,1.0,+-0.02,+-0.0002,+-0.002,+-0.002
