"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
63.0,760,0.04,0.102,+-0.05,,+-0.002,+-0.002
62.0,760,0.065,0.154,+-0.05,,+-0.002,+-0.002
60.9,760,0.095,0.215,+-0.05,,+-0.002,+-0.002
59.3,760,0.146,0.304,+-0.05,,+-0.002,+-0.002
57.8,760,0.196,0.378,+-0.05,,+-0.002,+-0.002
57.0,760,0.23,0.42,+-0.05,,+-0.002,+-0.002
55.9,760,0.287,0.472,+-0.05,,+-0.002,+-0.002
55.3,760,0.332,0.507,+-0.05,,+-0.002,+-0.002
54.7,760,0.383,0.54,+-0.05,,+-0.002,+-0.002
54.3,760,0.425,0.564,+-0.05,,+-0.002,+-0.002
54.0,760,0.459,0.58,+-0.05,,+-0.002,+-0.002
53.8,760,0.52,0.607,+-0.05,,+-0.002,+-0.002
53.7,760,0.557,0.619,+-0.05,,+-0.002,+-0.002
53.5,760,0.628,0.643,+-0.05,,+-0.002,+-0.002
53.5,760,0.636,0.646,+-0.05,,+-0.002,+-0.002
53.5,760,0.667,0.655,+-0.05,,+-0.002,+-0.002
53.7,760,0.753,0.684,+-0.05,,+-0.002,+-0.002
53.9,760,0.797,0.701,+-0.05,,+-0.002,+-0.002
54.4,760,0.855,0.73,+-0.05,,+-0.002,+-0.002
55.2,760,0.904,0.768,+-0.05,,+-0.002,+-0.002
56.3,760,0.937,0.812,+-0.05,,+-0.002,+-0.002
57.9,760,0.97,0.875,+-0.05,,+-0.002,+-0.002
