"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
25.0,10.0,0.0509,0.9999,0.02,+-0.07,,
25.0,20.0,0.0986,0.9999,0.02,+-0.07,,
25.0,30.0,0.1426,0.9999,0.02,+-0.07,,
25.0,40.0,0.1832,0.9999,0.02,+-0.07,,
25.0,50.0,0.2205,0.9999,0.02,+-0.07,,
25.0,60.0,0.255,0.9999,0.02,+-0.07,,
25.0,70.0,0.287,0.9999,0.02,+-0.07,,
25.0,80.0,0.3166,0.9999,0.02,+-0.07,,
25.0,90.0,0.3442,0.9999,0.02,+-0.07,,
25.0,100.0,0.3664,0.9999,0.02,+-0.07,,
25.0,120.0,0.416,0.9999,0.02,+-0.07,,
25.0,140.0,0.4637,0.9999,0.02,+-0.07,,
25.0,160.0,0.5094,0.9999,0.02,+-0.07,,
25.0,180.0,0.5533,0.9929,0.02,+-0.07,,
25.0,200.0,0.5952,0.9883,0.02,+-0.07,,
25.0,220.0,0.6352,0.9867,0.02,+-0.07,,
25.0,240.0,0.6733,0.9851,0.02,+-0.07,,
25.0,260.0,0.7094,0.9803,0.02,+-0.07,,
25.0,280.0,0.7437,0.9695,0.02,+-0.07,,
25.0,300.0,0.776,0.9495,0.02,+-0.07,,
25.0,310.0,0.809,0.9351,0.02,+-0.07,,
25.0,315.0,0.832,0.92,0.02,+-0.07,,
25.0,319.0,0.88,0.88,0.02,+-0.07,,
