"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
270.0,3.202,0.0,0.0,+- 0.02,,+- 0.002,+- 0.002
270.0,5.779,0.0498,0.3087,+- 0.02,,+- 0.002,+- 0.002
270.0,6.182,0.0566,0.3322,+- 0.02,,+- 0.002,+- 0.002
270.0,7.165,0.07,0.3747,+- 0.02,,+- 0.002,+- 0.002
270.0,7.546,0.0861,0.3879,+- 0.02,,+- 0.002,+- 0.002
270.0,8.289,0.1055,0.4049,+- 0.02,,+- 0.002,+- 0.002
270.0,8.476,0.109,0.4095,+- 0.02,,+- 0.002,+- 0.002
270.0,9.001,0.123,0.4148,+- 0.02,,+- 0.002,+- 0.002
270.0,9.586,0.1388,0.4186,+- 0.02,,+- 0.002,+- 0.002
270.0,10.193,0.1572,0.4192,+- 0.02,,+- 0.002,+- 0.002
270.0,4.334,,0.183,+- 0.02,,+- 0.002,+- 0.002
270.0,4.686,,0.2212,+- 0.02,,+- 0.002,+- 0.002
270.0,5.074,,0.2565,+- 0.02,,+- 0.002,+- 0.002
270.0,5.86,,0.3139,+- 0.02,,+- 0.002,+- 0.002
270.0,6.436,,0.3456,+- 0.02,,+- 0.002,+- 0.002
270.0,7.289,,0.3785,+- 0.02,,+- 0.002,+- 0.002
270.0,7.766,,0.393,+- 0.02,,+- 0.002,+- 0.002
270.0,9.283,,0.4176,+- 0.02,,+- 0.002,+- 0.002
270.0,9.618,,0.4204,+- 0.02,,+- 0.002,+- 0.002
270.0,10.393,,0.4174,+- 0.02,,+- 0.002,+- 0.002
