"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
368.15,0.1185,0.0,0.0,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.1312,0.002,0.094,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.173,0.02,0.308,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.2076,0.041,0.461,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.2445,0.063,0.578,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.2845,0.124,0.669,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.3535,0.272,0.745,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.4005,0.448,0.805,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.4144,0.568,0.825,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.4262,0.693,0.841,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.4339,0.828,0.882,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.4403,0.909,0.923,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.4414,0.961,0.963,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.4388,0.99,0.985,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.4269,1.0,1.0,+-0.02,+-0.0002,+-0.002,+-0.002
