"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
313.13,0.78,0.1426,0.9339,0.015,,0.0005,0.0005
313.13,1.18,0.1857,0.9421,0.015,,0.0005,0.0005
313.13,1.57,0.2421,0.9496,0.015,,0.0005,0.0005
313.13,2.03,0.3043,0.9562,0.015,,0.0005,0.0005
313.13,2.47,0.359,0.9599,0.015,,0.0005,0.0005
313.13,2.8,0.4029,0.9653,0.015,,0.0005,0.0005
313.13,3.24,0.4615,0.9714,0.015,,0.0005,0.0005
313.13,3.61,0.5276,0.9773,0.015,,0.0005,0.0005
313.13,4.06,0.5679,0.983,0.015,,0.0005,0.0005
313.13,4.6,0.6187,0.9857,0.015,,0.0005,0.0005
313.13,5.17,0.6814,0.9885,0.015,,0.0005,0.0005
313.13,5.48,0.7313,0.9855,0.015,,0.0005,0.0005
313.13,5.91,0.786,0.9814,0.015,,0.0005,0.0005
313.13,6.44,0.8394,0.9785,0.015,,0.0005,0.0005
313.13,7.39,0.9039,0.9754,0.015,,0.0005,0.0005
