"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
389.88,228.83,0.021,,0.4,1.5,0.009,
390.42,227.03,0.021,,0.4,1.5,0.009,
390.58,226.83,0.021,,0.4,1.5,0.009,
393.63,217.83,0.021,,0.4,1.5,0.009,
403.25,195.52,0.021,,0.4,1.5,0.009,
407.95,184.51,0.021,,0.4,1.5,0.009,
414.7,171.3,0.021,,0.4,1.5,0.009,
421.13,159.29,0.021,,0.4,1.5,0.009,
430.23,147.49,0.021,,0.4,1.5,0.009,
441.12,133.78,0.021,,0.4,1.5,0.009,
447.99,125.77,0.021,,0.4,1.5,0.009,
456.0,117.97,0.021,,0.4,1.5,0.009,
465.52,109.46,0.021,,0.4,1.5,0.009,
