"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
358.15,0.1044,0.0,0.0,+-0.01,+-0.00013,+-0.001,+-0.001
358.2,0.1605,0.034,0.385,+-0.01,+-0.00013,+-0.001,+-0.001
358.14,0.2353,0.099,0.6,+-0.01,+-0.00013,+-0.001,+-0.001
358.15,0.318,0.192,0.71,+-0.01,+-0.00013,+-0.001,+-0.001
358.15,0.3848,0.297,0.767,+-0.01,+-0.00013,+-0.001,+-0.001
358.18,0.441,0.414,0.83,+-0.01,+-0.00013,+-0.001,+-0.001
358.14,0.4854,0.523,0.86,+-0.01,+-0.00013,+-0.001,+-0.001
358.16,0.5098,0.58,0.875,+-0.01,+-0.00013,+-0.001,+-0.001
358.17,0.5685,0.748,0.926,+-0.01,+-0.00013,+-0.001,+-0.001
358.2,0.6318,0.902,0.963,+-0.01,+-0.00013,+-0.001,+-0.001
358.15,0.6746,1.0,1.0,+-0.01,+-0.00013,+-0.001,+-0.001
368.15,0.1552,0.0,0.0,+-0.01,+-0.00013,+-0.001,+-0.001
368.18,0.2307,0.038,0.352,+-0.01,+-0.00013,+-0.001,+-0.001
368.19,0.3153,0.09,0.559,+-0.01,+-0.00013,+-0.001,+-0.001
368.16,0.433,0.187,0.692,+-0.01,+-0.00013,+-0.001,+-0.001
368.17,0.524,0.296,0.766,+-0.01,+-0.00013,+-0.001,+-0.001
368.17,0.6002,0.411,0.816,+-0.01,+-0.00013,+-0.001,+-0.001
368.16,0.6632,0.525,0.857,+-0.01,+-0.00013,+-0.001,+-0.001
368.17,0.7206,0.624,0.884,+-0.01,+-0.00013,+-0.001,+-0.001
368.15,0.7858,0.748,0.923,+-0.01,+-0.00013,+-0.001,+-0.001
368.19,0.8693,0.9,0.964,+-0.01,+-0.00013,+-0.001,+-0.001
368.15,0.9214,1.0,1.0,+-0.01,+-0.00013,+-0.001,+-0.001
