"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
45.15,30.03,0.0,0.0,+-0.05,+-0.01,,
43.05,30.03,0.086,0.154,+-0.05,+-0.01,,
42.15,30.03,0.158,0.23,+-0.05,+-0.01,,
41.45,30.03,0.24,0.303,+-0.05,+-0.01,,
40.8,30.03,0.329,0.389,+-0.05,+-0.01,,
40.5,30.03,0.43,0.459,+-0.05,+-0.01,,
40.4,30.03,0.531,0.532,+-0.05,+-0.01,,
40.5,30.03,0.619,0.603,+-0.05,+-0.01,,
40.5,30.03,0.653,0.629,+-0.05,+-0.01,,
40.6,30.03,0.709,0.671,+-0.05,+-0.01,,
40.6,30.03,0.713,0.683,+-0.05,+-0.01,,
40.9,30.03,0.781,0.741,+-0.05,+-0.01,,
41.25,30.03,0.844,0.8,+-0.05,+-0.01,,
41.65,30.03,0.892,0.852,+-0.05,+-0.01,,
42.0,30.03,0.931,0.897,+-0.05,+-0.01,,
42.4,30.03,0.959,0.938,+-0.05,+-0.01,,
42.65,30.03,0.977,0.965,+-0.05,+-0.01,,
42.75,30.03,0.987,0.98,+-0.05,+-0.01,,
42.85,30.03,0.994,0.991,+-0.05,+-0.01,,
42.95,30.03,1.0,1.0,+-0.05,+-0.01,,
