"T, K","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
415.15,685,0.045,0.048,,,,
414.7,685,0.107,0.114,,,,
414.35,685,0.157,0.168,,,,
414.05,685,0.202,0.216,,,,
413.75,685,0.252,0.268,,,,
413.35,685,0.302,0.322,,,,
413.05,685,0.351,0.378,,,,
412.75,685,0.4,0.437,,,,
412.45,685,0.447,0.492,,,,
412.25,685,0.488,0.54,,,,
411.85,685,0.549,0.606,,,,
411.45,685,0.602,0.662,,,,
411.25,685,0.634,0.6945,,,,
411.05,685,0.658,0.718,,,,
411.05,685,0.66,0.72,,,,
410.8,685,0.69,0.75,,,,
410.65,685,0.706,0.765,,,,
410.25,685,0.752,0.808,,,,
410.1,685,0.767,0.822,,,,
409.75,685,0.8,0.851,,,,
409.15,685,0.856,0.897,,,,
408.75,685,0.887,0.921,,,,
408.45,685,0.91,0.938,,,,
407.85,685,0.962,0.975,,,,
