"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
40,169,0.0,0.0,0.02,0.05%,0.003,0.003
40,200,0.0057,0.1371,0.02,0.05%,0.003,0.003
40,250,0.0132,0.2783,0.02,0.05%,0.003,0.003
40,300,0.0212,0.3896,0.02,0.05%,0.003,0.003
40,350,0.0284,0.4604,0.02,0.05%,0.003,0.003
40,400,0.0354,0.5126,0.02,0.05%,0.003,0.003
40,450,0.0424,0.5551,0.02,0.05%,0.003,0.003
40,500,0.0493,0.5879,0.02,0.05%,0.003,0.003
40,600,0.0636,0.6394,0.02,0.05%,0.003,0.003
40,700,0.0783,0.6755,0.02,0.05%,0.003,0.003
40,800,0.093,0.6989,0.02,0.05%,0.003,0.003
40,900,0.1083,0.7141,0.02,0.05%,0.003,0.003
40,1000,0.125,0.7242,0.02,0.05%,0.003,0.003
40,1100,0.1433,0.7299,0.02,0.05%,0.003,0.003
40,1200,0.1635,0.7321,0.02,0.05%,0.003,0.003
40,1250,0.175,0.7319,0.02,0.05%,0.003,0.003
40,1300,0.1767,0.7306,0.02,0.05%,0.003,0.003
40,1400,0.2137,0.7262,0.02,0.05%,0.003,0.003
40,1500,0.245,0.7185,0.02,0.05%,0.003,0.003
40,1600,0.2798,0.7075,0.02,0.05%,0.003,0.003
40,1700,0.324,0.6931,0.02,0.05%,0.003,0.003
40,1750,0.3492,0.6828,0.02,0.05%,0.003,0.003
40,1800,0.3758,0.6686,0.02,0.05%,0.003,0.003
40,1900,0.4404,0.613,0.02,0.05%,0.003,0.003
40,1949,0.55,0.55,0.02,0.05%,0.003,0.003
