"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
70,138.2,0.0,0.0,+-0.02,+-0.1,,
70,139.6,0.0073,0.0014,+-0.02,+-0.1,,
70,143.1,0.0123,0.0185,+-0.02,+-0.1,,
70,158.9,0.0309,0.0515,+-0.02,+-0.1,,
70,168.3,0.0514,0.0861,+-0.02,+-0.1,,
70,179.1,0.0892,0.1368,+-0.02,+-0.1,,
70,187.4,0.1313,0.1929,+-0.02,+-0.1,,
70,193.1,0.1693,0.2385,+-0.02,+-0.1,,
70,200.3,0.2233,0.3098,+-0.02,+-0.1,,
70,208.5,0.3047,0.3932,+-0.02,+-0.1,,
70,215.9,0.417,0.5112,+-0.02,+-0.1,,
70,223.6,0.5681,0.6528,+-0.02,+-0.1,,
70,228.6,0.7585,0.8141,+-0.02,+-0.1,,
70,233.7,1.0,1.0,+-0.02,+-0.1,,
