"T, K","P, psi",X,Y,T Err,P Err,X Err,Y Err
95,201,0.0051,0.5512,+-0.5,1,,
95,201,0.0048,0.5461,+-0.5,1,,
95,201,0.0048,0.5512,+-0.5,1,,
95,201,0.0045,,+-0.5,1,,
95,403,0.0115,0.7659,+-0.5,1,,
95,403,0.0103,0.7742,+-0.5,1,,
95,403,,0.7708,+-0.5,1,,
95,605,0.0173,0.8336,+-0.5,1,,
95,605,0.0167,0.8342,+-0.5,1,,
95,605,0.0155,,+-0.5,1,,
95,803,0.0221,0.8682,+-0.5,1,,
95,803,0.0218,0.8663,+-0.5,1,,
95,803,0.022,0.8688,+-0.5,1,,
95,996,0.0276,0.8913,+-0.5,1,,
95,996,0.0271,0.8922,+-0.5,1,,
95,996,0.027,0.8929,+-0.5,1,,
95,1204,0.0367,0.9005,+-0.5,1,,
95,1204,0.0336,0.9015,+-0.5,1,,
95,1204,0.0341,0.9003,+-0.5,1,,
95,1204,0.0319,,+-0.5,1,,
95,1398,0.0409,0.908,+-0.5,1,,
95,1398,0.0412,0.9125,+-0.5,1,,
95,1398,0.0404,0.9149,+-0.5,1,,
95,1398,0.0407,,+-0.5,1,,
95,1603,0.0475,0.9199,+-0.5,1,,
95,1603,0.0463,0.9216,+-0.5,1,,
95,1603,0.0453,0.9213,+-0.5,1,,
95,1603,,0.9228,+-0.5,1,,
95,1799,0.0528,0.9235,+-0.5,1,,
95,1799,0.0502,0.9235,+-0.5,1,,
95,1799,0.0515,0.923,+-0.5,1,,
95,1799,0.0506,,+-0.5,1,,
95,1799,0.0523,,+-0.5,1,,
95,1996,0.0563,0.9299,+-0.5,1,,
95,1996,0.0559,0.9294,+-0.5,1,,
95,1996,0.0561,0.9308,+-0.5,1,,
