"T, deg.C","P, bar",X,Y,T Err,P Err,X Err,Y Err
50.7,40.0,0.1977,0.9999,,,,
50.6,79.9,0.3859,0.9997,,,,
50.6,120.1,0.5031,0.9898,,,,
50.5,159.9,0.5451,0.9763,,,,
100.4,39.9,0.1328,0.9995,,,,
100.4,79.6,0.2518,0.9992,,,,
100.4,119.9,0.3589,0.998,,,,
100.3,159.9,0.4485,0.9946,,,,
190.6,20.0,0.0472,0.9842,,,,
190.5,39.86,0.0946,0.9896,,,,
190.6,79.87,0.1828,0.9914,,,,
200.1,39.7,0.0888,0.9872,,,,
200.2,79.9,0.175,0.9893,,,,
200.2,119.8,0.2517,0.9883,,,,
200.5,158.6,0.3285,0.9847,,,,
250.8,40.0,0.0865,0.9582,,,,
250.4,80.0,0.1623,0.9698,,,,
250.4,120.0,0.2379,0.9703,,,,
