"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
-255.0,17.36,0.0,0.0,0-0.1%,0-1%,0-1%,0-1%
-255.0,30.2,,0.4151,0-0.1%,0-1%,0-1%,0-1%
-255.0,50.0,0.089407,0.6491,0-0.1%,0-1%,0-1%,0-1%
-255.0,75.0,0.1671,0.766,0-0.1%,0-1%,0-1%,0-1%
-255.0,100.0,0.2609,0.829,0-0.1%,0-1%,0-1%,0-1%
-255.0,149.5,0.4984,0.899,0-0.1%,0-1%,0-1%,0-1%
-255.0,200.2,0.7495,0.94505,0-0.1%,0-1%,0-1%,0-1%
-255.0,199.5,0.7491,0.94428,0-0.1%,0-1%,0-1%,0-1%
-255.0,222.5,0.858,0.96449,0-0.1%,0-1%,0-1%,0-1%
-255.0,250.0,0.95585,0.98739,0-0.1%,0-1%,0-1%,0-1%
-255.0,262.0,1.0,1.0,0-0.1%,0-1%,0-1%,0-1%
