"T, deg.F","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
192.2,760,0.09,0.26,+-0.18,,,
181.7,760,0.172,0.455,+-0.18,,,
175.5,760,0.319,0.668,+-0.18,,,
172.9,760,0.445,0.777,+-0.18,,,
170.0,760,0.555,0.842,+-0.18,,,
165.0,760,0.652,0.889,+-0.18,,,
160.3,760,0.738,0.921,+-0.18,,,
157.0,760,0.814,0.951,+-0.18,,,
152.0,760,0.883,0.971,+-0.18,,,
