"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
69.35,760,0.473,0.555,+-0.02,,,
69.37,760,0.442,0.55,+-0.02,,,
69.01,760,0.538,0.582,+-0.02,,,
69.1,760,0.708,0.627,+-0.02,,,
69.45,760,0.784,0.66,+-0.02,,,
69.2,760,0.516,0.57,+-0.02,,,
68.8,760,0.528,0.583,+-0.02,,,
69.21,760,0.631,0.605,+-0.02,,,
69.42,760,0.742,0.649,+-0.02,,,
69.66,760,0.807,0.673,+-0.02,,,
70.11,760,0.862,0.697,+-0.02,,,
71.5,760,0.921,0.773,+-0.02,,,
74.01,760,0.99,0.838,+-0.02,,,
76.73,760,0.995,0.893,+-0.02,,,
74.96,760,0.116,0.283,+-0.02,,,
74.8,760,0.12,0.276,+-0.02,,,
72.28,760,0.191,0.371,+-0.02,,,
70.19,760,0.306,0.489,+-0.02,,,
69.11,760,0.518,0.568,+-0.02,,,
69.14,760,0.516,0.572,+-0.02,,,
69.02,760,0.485,0.548,+-0.02,,,
69.08,760,0.571,0.582,+-0.02,,,
69.06,760,0.64,0.595,+-0.02,,,
74.74,760,0.978,0.85,+-0.02,,,
70.31,760,0.873,0.709,+-0.02,,,
78.71,760,0.027,0.112,+-0.02,,,
76.91,760,0.07,0.218,+-0.02,,,
